context_id,product_id,representation,protocol,candidate_quantity,training_percentile,raw_probability,sigmoid_probability,isotonic_probability,valid_support
28385,100483XUZ09C,Q2,B,448.5,50,0.14072733558171296,0.11503079943354143,0.125,True
28385,100483XUZ09C,Q2,B,5000.0,75,0.15087197958272927,0.1210728573607009,0.15868794326241134,True
28385,100483XUZ09C,Q2,B,38724.400000000074,90,0.15087197958272927,0.1210728573607009,0.15868794326241134,True
9539,100483XUZ09C,Q2,B,43.1,10,0.0949577523417878,0.09093866042176087,0.06351351351351352,True
9539,100483XUZ09C,Q2,B,100.0,25,0.0949577523417878,0.09093866042176087,0.06351351351351352,True
9539,100483XUZ09C,Q2,B,448.5,50,0.0949577523417878,0.09093866042176087,0.06351351351351352,True
9539,100483XUZ09C,Q2,B,5000.0,75,0.11192718297477273,0.09929027860924697,0.11627906976744186,True
9539,100483XUZ09C,Q2,B,38724.400000000074,90,0.11192718297477273,0.09929027860924697,0.11627906976744186,True
16578,100483XUZ09C,Q2,B,43.1,10,0.04890648500934695,0.07137790788251967,0.0,True
16578,100483XUZ09C,Q2,B,100.0,25,0.04890648500934695,0.07137790788251967,0.0,True
16578,100483XUZ09C,Q2,B,448.5,50,0.04890648500934695,0.07137790788251967,0.0,True
16578,100483XUZ09C,Q2,B,5000.0,75,0.05754610876589032,0.07472466400847196,0.0,True
16578,100483XUZ09C,Q2,B,38724.400000000074,90,0.05754610876589032,0.07472466400847196,0.0,True
12803,100483XUZ09C,Q2,B,43.1,10,0.11414993123029503,0.10043344898439191,0.12044817927170871,True
12803,100483XUZ09C,Q2,B,100.0,25,0.11414993123029503,0.10043344898439191,0.12044817927170871,True
12803,100483XUZ09C,Q2,B,448.5,50,0.11414993123029503,0.10043344898439191,0.12044817927170871,True
12803,100483XUZ09C,Q2,B,5000.0,75,0.1323452410163997,0.11023805645679359,0.12044817927170871,True
12803,100483XUZ09C,Q2,B,38724.400000000074,90,0.1323452410163997,0.11023805645679359,0.12044817927170871,True
9683,100483XUZ09C,Q2,B,43.1,10,0.0949577523417878,0.09093866042176087,0.06351351351351352,True
9683,100483XUZ09C,Q2,B,100.0,25,0.0949577523417878,0.09093866042176087,0.06351351351351352,True
9683,100483XUZ09C,Q2,B,448.5,50,0.0949577523417878,0.09093866042176087,0.06351351351351352,True
9683,100483XUZ09C,Q2,B,5000.0,75,0.11192718297477273,0.09929027860924697,0.11627906976744186,True
9683,100483XUZ09C,Q2,B,38724.400000000074,90,0.11192718297477273,0.09929027860924697,0.11627906976744186,True
13009,100483XUZ09C,Q2,B,43.1,10,0.13632926496897846,0.1124938546430278,0.125,True
13009,100483XUZ09C,Q2,B,100.0,25,0.13632926496897846,0.1124938546430278,0.125,True
13009,100483XUZ09C,Q2,B,448.5,50,0.13632926496897846,0.1124938546430278,0.125,True
13009,100483XUZ09C,Q2,B,5000.0,75,0.17017299340326855,0.13332466627337647,0.15868794326241134,True
13009,100483XUZ09C,Q2,B,38724.400000000074,90,0.17017299340326855,0.13332466627337647,0.15868794326241134,True
27555,100483XUZ09C,Q2,B,43.1,10,0.12506766514381987,0.10621964177784833,0.12044817927170871,True
27555,100483XUZ09C,Q2,B,100.0,25,0.12506766514381987,0.10621964177784833,0.12044817927170871,True
27555,100483XUZ09C,Q2,B,448.5,50,0.12506766514381987,0.10621964177784833,0.12044817927170871,True
27555,100483XUZ09C,Q2,B,5000.0,75,0.14725105921652254,0.11888548211064487,0.15868794326241134,True
27555,100483XUZ09C,Q2,B,38724.400000000074,90,0.14725105921652254,0.11888548211064487,0.15868794326241134,True
28391,100483XUZ09C,Q2,B,43.1,10,0.14072733558171296,0.11503079943354143,0.125,True
28391,100483XUZ09C,Q2,B,100.0,25,0.14072733558171296,0.11503079943354143,0.125,True
28391,100483XUZ09C,Q2,B,448.5,50,0.14072733558171296,0.11503079943354143,0.125,True
28391,100483XUZ09C,Q2,B,5000.0,75,0.15087197958272927,0.1210728573607009,0.15868794326241134,True
28391,100483XUZ09C,Q2,B,38724.400000000074,90,0.15087197958272927,0.1210728573607009,0.15868794326241134,True
24805,100483XUZ09C,Q2,B,43.1,10,0.05793202211039637,0.07487747292960063,0.0,True
24805,100483XUZ09C,Q2,B,100.0,25,0.05793202211039637,0.07487747292960063,0.0,True
24805,100483XUZ09C,Q2,B,448.5,50,0.05793202211039637,0.07487747292960063,0.0,True
24805,100483XUZ09C,Q2,B,5000.0,75,0.06770276837607536,0.07884321602702447,0.035403753517121786,True
24805,100483XUZ09C,Q2,B,38724.400000000074,90,0.06770276837607536,0.07884321602702447,0.035403753517121786,True
27545,100483XUZ09C,Q2,B,43.1,10,0.20186002626353877,0.15569994457314884,0.15868794326241134,True
27545,100483XUZ09C,Q2,B,100.0,25,0.20186002626353877,0.15569994457314884,0.15868794326241134,True
27545,100483XUZ09C,Q2,B,448.5,50,0.20186002626353877,0.15569994457314884,0.15868794326241134,True
27545,100483XUZ09C,Q2,B,5000.0,75,0.22644674830562558,0.17510038279485313,0.15868794326241134,True
27545,100483XUZ09C,Q2,B,38724.400000000074,90,0.22644674830562558,0.17510038279485313,0.15868794326241134,True
26476,100483XUZ09C,Q2,B,43.1,10,0.10532315077436745,0.09596184716901895,0.09055118110236221,True
26476,100483XUZ09C,Q2,B,100.0,25,0.10532315077436745,0.09596184716901895,0.09055118110236221,True
26476,100483XUZ09C,Q2,B,448.5,50,0.10532315077436745,0.09596184716901895,0.09055118110236221,True
26476,100483XUZ09C,Q2,B,5000.0,75,0.12329351931500394,0.10525978850075195,0.12044817927170871,True
26476,100483XUZ09C,Q2,B,38724.400000000074,90,0.12329351931500394,0.10525978850075195,0.12044817927170871,True
